Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00636064, 0.00412898, 0.00222901, 1.931e-05, 26814, 19703, 1188
0.00463673, 0.00280805, 0.00182768, 1.9432e-05, 26938, 20010, 1539
0.00557883, 0.00336922, 0.00220745, 2.0351e-05, 26765, 20557, 1134
0.00547453, 0.00324483, 0.00222809, 1.9264e-05, 26443, 18959, 1107
0.00495357, 0.00313289, 0.00181878, 1.8525e-05, 26192, 19618, 1134
0.00513297, 0.00364533, 0.00148599, 1.6756e-05, 26325, 17999, 1080
0.00510319, 0.00298679, 0.00211478, 2.8173e-05, 25973, 18188, 1593
0.00462468, 0.00258879, 0.00203447, 1.8213e-05, 25422, 17515, 1188
0.00549605, 0.00346514, 0.00202823, 3.1033e-05, 24992, 17167, 1134
0.00413842, 0.00271702, 0.0014205, 1.6248e-05, 24482, 17821, 1134
0.00187741, 0.00127512, 0.000601408, 8.223e-06, 24406, 17571, 918
0.00496642, 0.00294347, 0.00202139, 2.4545e-05, 23948, 18859, 1566
0.00310068, 0.00196555, 0.00113389, 1.3478e-05, 23584, 18234, 1323
0.00545639, 0.00351865, 0.00193383, 1.8911e-05, 23343, 18491, 1188
0.00527664, 0.00348688, 0.00178737, 2.4444e-05, 22737, 15621, 1269
0.0013266, 0.00084231, 0.000483642, 4.169e-06, 22201, 15495, 567
0.00409317, 0.00259694, 0.00149394, 1.628e-05, 21601, 15004, 918
0.00491171, 0.00298458, 0.00192561, 1.7419e-05, 21111, 16264, 918
0.00504176, 0.00306294, 0.00197628, 2.1932e-05, 20507, 16949, 1377
0.00353933, 0.00206012, 0.0014783, 1.4351e-05, 19414, 16870, 1161
